loss: 1.2196, acc: 0.4644, test_acc: 0.6500, test_f1: 0.2626
loss: 1.4253, acc: 0.4651, test_acc: 0.6500, test_f1: 0.2626
loss: 1.2949, acc: 0.4673, test_acc: 0.6536, test_f1: 0.2766
loss: 1.2927, acc: 0.4688, test_acc: 0.6562, test_f1: 0.2867
loss: 1.2876, acc: 0.4707, test_acc: 0.6500, test_f1: 0.2626
loss: 1.3230, acc: 0.4718, test_acc: 0.6536, test_f1: 0.2767
loss: 1.3095, acc: 0.4731, test_acc: 0.6857, test_f1: 0.3780
loss: 1.3760, acc: 0.4741, test_acc: 0.6911, test_f1: 0.3958
loss: 1.2835, acc: 0.4757, test_acc: 0.6875, test_f1: 0.3822
loss: 1.3184, acc: 0.4770, test_acc: 0.6848, test_f1: 0.3730
loss: 1.3333, acc: 0.4774, test_acc: 0.7036, test_f1: 0.4202
loss: 1.3202, acc: 0.4789, test_acc: 0.7348, test_f1: 0.4828
loss: 1.2898, acc: 0.4801, test_acc: 0.7161, test_f1: 0.4432
loss: 1.2512, acc: 0.4818, test_acc: 0.7018, test_f1: 0.4142
loss: 1.4175, acc: 0.4825, test_acc: 0.7116, test_f1: 0.4369
loss: 1.3015, acc: 0.4841, test_acc: 0.7393, test_f1: 0.5088
loss: 1.2701, acc: 0.4860, test_acc: 0.7357, test_f1: 0.4921
loss: 1.3732, acc: 0.4869, test_acc: 0.7304, test_f1: 0.4750
loss: 1.2738, acc: 0.4882, test_acc: 0.7536, test_f1: 0.5119
loss: 1.1847, acc: 0.4897, test_acc: 0.7679, test_f1: 0.5507
loss: 1.2696, acc: 0.4910, test_acc: 0.7679, test_f1: 0.5648
loss: 1.1298, acc: 0.4933, test_acc: 0.7696, test_f1: 0.5524
loss: 1.2096, acc: 0.4955, test_acc: 0.7705, test_f1: 0.5728
loss: 1.3055, acc: 0.4964, test_acc: 0.7723, test_f1: 0.5665
loss: 1.2731, acc: 0.4974, test_acc: 0.7661, test_f1: 0.5559
