loss: 1.3779, acc: 0.4990, test_acc: 0.5303, test_f1: 0.3708
loss: 1.3880, acc: 0.4988, test_acc: 0.5564, test_f1: 0.4917
loss: 1.4015, acc: 0.4981, test_acc: 0.5520, test_f1: 0.5190
loss: 1.3767, acc: 0.4981, test_acc: 0.5347, test_f1: 0.4019
loss: 1.3445, acc: 0.4983, test_acc: 0.5405, test_f1: 0.4296
loss: 1.3255, acc: 0.4981, test_acc: 0.5564, test_f1: 0.4092
loss: 1.3499, acc: 0.4986, test_acc: 0.5434, test_f1: 0.3766
loss: 1.2557, acc: 0.4989, test_acc: 0.5491, test_f1: 0.4374
loss: 1.3480, acc: 0.4994, test_acc: 0.5650, test_f1: 0.4859
loss: 1.3304, acc: 0.4996, test_acc: 0.5578, test_f1: 0.4350
loss: 1.3572, acc: 0.4989, test_acc: 0.5723, test_f1: 0.4512
loss: 1.2886, acc: 0.4996, test_acc: 0.5708, test_f1: 0.4865
loss: 1.3095, acc: 0.5000, test_acc: 0.5621, test_f1: 0.4448
loss: 1.2053, acc: 0.5011, test_acc: 0.5477, test_f1: 0.3819
loss: 1.3558, acc: 0.5007, test_acc: 0.5708, test_f1: 0.4430
loss: 1.2820, acc: 0.5014, test_acc: 0.5853, test_f1: 0.5682
loss: 1.2743, acc: 0.5010, test_acc: 0.5751, test_f1: 0.5531
loss: 1.2798, acc: 0.5010, test_acc: 0.5896, test_f1: 0.5472
loss: 1.3586, acc: 0.5008, test_acc: 0.5780, test_f1: 0.5440
loss: 1.2384, acc: 0.5015, test_acc: 0.5983, test_f1: 0.5598
loss: 1.3299, acc: 0.5018, test_acc: 0.6012, test_f1: 0.5130
loss: 1.4078, acc: 0.5013, test_acc: 0.5809, test_f1: 0.4610
loss: 1.3257, acc: 0.5019, test_acc: 0.5665, test_f1: 0.5164
loss: 1.3021, acc: 0.6250, test_acc: 0.5795, test_f1: 0.5637
loss: 1.3451, acc: 0.5625, test_acc: 0.5780, test_f1: 0.5436
loss: 1.2479, acc: 0.5417, test_acc: 0.5824, test_f1: 0.5553
loss: 1.3292, acc: 0.5312, test_acc: 0.6026, test_f1: 0.5153
loss: 1.3320, acc: 0.5188, test_acc: 0.5983, test_f1: 0.5270
