loss: 0.8278, acc: 0.8281, test_acc: 0.7536, test_f1: 0.6903
loss: 0.6245, acc: 0.8333, test_acc: 0.7488, test_f1: 0.6522
loss: 0.5916, acc: 0.8344, test_acc: 0.7251, test_f1: 0.6063
loss: 0.6639, acc: 0.8381, test_acc: 0.7235, test_f1: 0.6036
loss: 0.7475, acc: 0.8307, test_acc: 0.7409, test_f1: 0.6595
loss: 0.6719, acc: 0.8293, test_acc: 0.7599, test_f1: 0.6979
loss: 0.6652, acc: 0.8281, test_acc: 0.7583, test_f1: 0.6932
loss: 0.7052, acc: 0.8292, test_acc: 0.7488, test_f1: 0.6709
loss: 0.6094, acc: 0.8281, test_acc: 0.7393, test_f1: 0.6578
loss: 0.6798, acc: 0.8199, test_acc: 0.7378, test_f1: 0.6591
loss: 0.7223, acc: 0.8125, test_acc: 0.7378, test_f1: 0.6566
loss: 0.5624, acc: 0.8076, test_acc: 0.7488, test_f1: 0.6738
loss: 0.6247, acc: 0.8047, test_acc: 0.7378, test_f1: 0.6566
loss: 0.6328, acc: 0.8021, test_acc: 0.7362, test_f1: 0.6456
loss: 0.6822, acc: 0.7997, test_acc: 0.7235, test_f1: 0.5966
loss: 0.7360, acc: 0.7989, test_acc: 0.7283, test_f1: 0.6089
loss: 0.7222, acc: 0.7995, test_acc: 0.7551, test_f1: 0.6720
loss: 0.5318, acc: 0.8013, test_acc: 0.7551, test_f1: 0.6980
loss: 0.7296, acc: 0.8029, test_acc: 0.7583, test_f1: 0.6987
loss: 0.5135, acc: 0.8067, test_acc: 0.7314, test_f1: 0.6164
loss: 0.5875, acc: 0.8080, test_acc: 0.7235, test_f1: 0.5997
loss: 0.5204, acc: 0.8082, test_acc: 0.7409, test_f1: 0.6542
loss: 0.6317, acc: 0.8094, test_acc: 0.7520, test_f1: 0.6783
loss: 0.5826, acc: 0.8065, test_acc: 0.7409, test_f1: 0.6586
loss: 0.6145, acc: 0.8027, test_acc: 0.7551, test_f1: 0.6776
loss: 0.5195, acc: 0.8030, test_acc: 0.7662, test_f1: 0.6937
loss: 0.5476, acc: 0.7987, test_acc: 0.7773, test_f1: 0.7149
loss: 0.4209, acc: 0.8009, test_acc: 0.7536, test_f1: 0.6863
loss: 0.5249, acc: 0.8030, test_acc: 0.7599, test_f1: 0.6961
loss: 0.5538, acc: 0.8007, test_acc: 0.7725, test_f1: 0.7116
loss: 0.6415, acc: 0.7993, test_acc: 0.7615, test_f1: 0.6784
loss: 0.5341, acc: 0.7965, test_acc: 0.7788, test_f1: 0.7220
loss: 0.3768, acc: 0.7969, test_acc: 0.7788, test_f1: 0.7338
loss: 0.5504, acc: 0.7995, test_acc: 0.7662, test_f1: 0.7125
